Source,Target,Type,Confidence,From_Seq,To_Seq
_cgoexp_8aa400f2462b_llamarunner_llama_Execute,llama_batch_add,static,inferred,_cgoexp_8aa400f2462b_llamarunner_llama_Execute,L3_003
_cgoexp_8aa400f2462b_llamarunner_llama_Execute,common_sampler_sample,static,inferred,_cgoexp_8aa400f2462b_llamarunner_llama_Execute,L2_072
_cgoexp_8aa400f2462b_llamarunner_llama_Execute,llama_decode,static,inferred,_cgoexp_8aa400f2462b_llamarunner_llama_Execute,L2_105
_cgo_8aa400f2462b_Cfunc_llama_decode,llama_decode,static,inferred,L1_141,L2_105
_cgo_8aa400f2462b_Cfunc_llama_sampler_sample,common_sampler_sample,static,inferred,_cgo_8aa400f2462b_Cfunc_llama_sampler_sample,L2_072
_cgo_8aa400f2462b_Cfunc_llama_sampler_sample,llama_sampler_sample,static,inferred,_cgo_8aa400f2462b_Cfunc_llama_sampler_sample,L3_136
_cgo_8aa400f2462b_Cfunc_common_sampler_csample,common_sampler_csample,static,inferred,L1_130,L2_057
_cgo_8aa400f2462b_Cfunc_common_sampler_csample,llama_sampler_sample,static,inferred,L1_130,L3_136
_cgo_8aa400f2462b_Cfunc_llama_batch_init,llama_batch_init,static,inferred,L1_139,L3_008
_cgo_8aa400f2462b_Cfunc_llama_batch_add,common_batch_add,static,inferred,_cgo_8aa400f2462b_Cfunc_llama_batch_add,L2_001
_cgo_8aa400f2462b_Cfunc_llama_batch_add,llama_batch_add,static,inferred,_cgo_8aa400f2462b_Cfunc_llama_batch_add,L3_003
llama_decode,llama_synchronize,static,inferred,L2_105,L2_404
llama_decode,ggml_backend_sched_synchronize,static,inferred,L2_105,L4_029
llama_decode,ggml_backend_sched_graph_compute_async,static,inferred,L2_105,L4_022
llama_batch_add,common_batch_add,static,inferred,L3_003,L2_001
llama_batch_add,llama_batch_add,static,inferred,L3_003,L3_003
llama_sampler_sample,common_sampler_sample,static,inferred,L3_136,L2_072
llama_sampler_sample,_Z21common_sampler_sample,static,inferred,L3_136,L6_007
llama_sampler_sample,llama_sampler_sample,static,inferred,L3_136,L3_136
common_sampler_sample,_Z21common_sampler_sample,static,inferred,L2_072,L6_007
ggml_backend_sched_graph_compute_async,ggml_backend_sched_reset,static,inferred,L4_022,L4_025
ggml_backend_sched_graph_compute_async,ggml_backend_sched_synchronize,static,inferred,L4_022,L4_029
ggml_backend_sched_graph_compute_async,ggml_backend_graph_compute_async,static,inferred,L4_022,L4_006
ggml_backend_sched_new,ggml_backend_sched_alloc_graph,static,inferred,L4_023,L4_010
ggml_backend_sched_new,ggml_backend_sched_reserve,static,inferred,L4_023,L4_024
ggml_backend_sched_alloc_graph,ggml_graph_new,static,inferred,L4_010,L6_252
ggml_backend_sched_alloc_graph,ggml_backend_sched_set_tensor_backend,static,inferred,L4_010,L4_027
ggml_backend_sched_synchronize,ggml_backend_synchronize,static,inferred,L4_029,L5_142
ggml_backend_graph_compute_async,ggml_backend_graph_compute,static,inferred,L4_006,L4_005
ggml_backend_graph_compute_async,ggml_backend_cpu_buffer_type,static,inferred,L4_006,L5_049
ggml_backend_synchronize,ggml_backend_cpu_buffer_type,static,inferred,L5_142,L5_049
ggml_backend_cpu_init,ggml_backend_cpu_buffer_type,static,inferred,L5_074,L5_049
_Z21common_sampler_sample,common_sampler_print,static,inferred,L6_007,L2_068
_Z21common_sampler_sample,llama_sampler_sample,static,inferred,L6_007,L3_136
llama_sampler_init,llama_sampler_chain_init,static,inferred,L3_079,L3_042
llama_sampler_init,common_sampler_init,static,inferred,L3_079,L2_061
llama_sampler_accept,common_sampler_accept,static,inferred,L3_030,L2_048
llama_tokenize,llama_vocab_impl_tokenize,static,inferred,L3_202,L3_262
llama_token_to_piece,common_token_to_piece,static,inferred,L3_201,L7_004
llama_token_to_piece,llama_vocab_impl_token_to_piece,static,inferred,L3_201,L3_261
llama_model_load_from_file,llama_model_loader_load_tensors,static,inferred,L2_280,L2_318
llama_model_load_from_file,ggml_backend_sched_new,static,inferred,L2_280,L4_023
llama_model_load_from_file,llama_model_loader_init_mappings,static,inferred,L2_280,L2_317
llama_model_load_from_file,ggml_init,static,inferred,L2_280,L6_275
llama_model_load_from_file,llama_load_model_from_file,static,inferred,L2_280,L2_225
llama_model_load_from_file,ggml_backend_init_best,static,inferred,L2_280,L5_115
llama_load_model_from_file,ggml_backend_sched_new,static,inferred,L2_225,L4_023
llama_load_model_from_file,ggml_backend_sched_alloc_graph,static,inferred,L2_225,L4_010
llama_load_model_from_file,ggml_backend_sched_synchronize,static,inferred,L2_225,L4_029
ggml_backend_buffer_alloc,ggml_aligned_malloc,static,inferred,ggml_backend_buffer_alloc,L6_045
ggml_backend_buffer_alloc,ggml_backend_cpu_buffer_type,static,inferred,ggml_backend_buffer_alloc,L5_049
ggml_aligned_malloc,mmap,static,inferred,L6_045,L8_039
